noise,player_1,player_10,player_103,player_106,player_107,player_108,player_109,player_11,player_111,player_112,player_114,player_118,player_119,player_124,player_126,player_129,player_132,player_137,player_139,player_140,player_141,player_142,player_143,player_147,player_150,player_151,player_153,player_155,player_159,player_162,player_163,player_17,player_171,player_173,player_174,player_175,player_177,player_178,player_180,player_181,player_184,player_185,player_25,player_26,player_42,player_49,player_52,player_56,player_6,player_60,player_63,player_69,player_7,player_70,player_71,player_75,player_79,player_85,player_9,probend,repetitions,size,turns,Winning_strategy,Highest_avg_Score
0.0236161471388255,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.998630653672914,41,188,36,Suspicious Tit For Tat,3.64
0.892433344048579,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.0835506768306836,47,188,200,Defector Hunter,3.09
0.839799736311873,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.182591886954517,59,188,183,EventualCycleHunter,2.8
0.214045769952043,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.871708112245438,11,188,97,BetterAndBetter,3.09
0.659487316050818,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.432457861309924,35,188,192,RandomHunter,2.44
0.701369540968675,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.957047002658068,71,188,167,TitFor2Tats,2.4
0.545655515769578,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.712091737822037,26,188,29,BetterAndBetter,2.82
0.345831823338055,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.844851088566628,19,188,141,CooperatorHunter,2.54
0.849485965186367,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.895038967426675,40,101,134,Fortress3,3.64
0.0404843781807775,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.965464886361917,63,101,99,LevelPunisher,2.5
